Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
DNM2	dynamin 2	1785	19:10718131-10831903	1	Yes	19p13.2	yes		T-ALL			L	Rec	TSG	"F, N, S, Mis, O"		yes	"Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5"	"CCDS45969.1,CMT2M,CMTDI1,CMTDIB,DI-CMTB,DYN2,DYNII,ENSG00000079805.16,NM_001005361.2,NP_001005361,P50570"
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	1788	2:25227855-25342590	1	Yes	2p23.3	yes		AML			L	Dom	TSG	"Mis, F, N, S"				"CCDS33157.1,ENSG00000119772.16,NM_175629.2,NP_783328,Q9Y6K1"
DROSHA	drosha ribonuclease III	29102	5:31400497-31532061	1	Yes	5p13.3	yes		"Wilms tumour, NSCLC, bladder carcinoma"			"E, O"		TSG	"A, Mis, N, F"				"CCDS47195.1,ENSG00000113360.16,Etohi2,HSA242976,NM_013235.4,NP_037367,Q9NRR4,RN3,RNASE3L,RNASEN"
EBF1	early B-cell factor 1	1879	5:158695920-159099761	1	Yes	5q33.3	yes		lipoma			M	Dom	"TSG, fusion"	T	HMGA2			"CCDS4343.1,COE1,EBF,ENSG00000164330.16,NM_024007.4,NP_076870,NP_001277289.1,NP_001311037.1,NP_001311036.1,NP_001311040.1,NP_001311035.1,NP_001311032.1,NP_001311030.1,OLF1,Q9UH73"
ECT2L	epithelial cell transforming sequence 2 oncogene-like	345930	6:138796111-138904070	2		6q24.1	yes		ETP ALL			L	Rec		"N, S, Mis"				"ARHGEF32,C6orf91,CCDS43508.1,ENSG00000203734.11,FBXO49,LFDH,NM_001077706.2,NP_001071174,Q008S8"
EED	embryonic ectoderm development	8726	11:86245223-86278813	2		11q14.2	yes		"malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma"			"E, L"		TSG	"Mis, F"				"CCDS76463.1,ENSG00000074266.19,HEED,NM_001308007.1,NP_001294936,O75530,WAIT-1"
EGFR	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"	1956	7:55019101-55211628	1	Yes	7p11.2	yes	yes	"glioma, NSCLC"	NSCLC	familial lung cancer	"E, O"	Dom	oncogene	"A, O, Mis"				"CCDS5514.1,ENSG00000146648.17,ERBB,ERBB1,NM_005228.3,NP_005219,P00533"
EIF1AX	"eukaryotic translation initiation factor 1A, X-linked"	107984923	X:20124518-20141844	2		Xp22.12	yes		"uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer"			E			"Mis, S"				"CCDS14196.1,EIF1A,EIF4C,ENSG00000173674.10,NM_001412.3,NP_001403,P47813,eIF-1A,eIF-4C"
EIF3E	"eukaryotic translation initiation factor 3, subunit E"	3646	8:108201743-108248765	1	Yes	8q23.1	yes		colorectal			E	Dom	"TSG, fusion"	T	RSPO3			"CCDS6308.1,EIF3S6,ENSG00000104408.9,INT6,NM_001568.2,NP_001559,P60228,eIF3-p48,eIF3e"
EIF4A2	"eukaryotic translation initiation factor 4A, isoform 2"	1974	3:186783547-186789900	1		3q27.3	yes		NHL			L	Dom	fusion	T	BCL6			"BM-010,CCDS3282.1,DDX2B,EIF4A,EIF4F,ENSG00000156976.16,NM_001967.3,NP_001958,Q14240"
ELF3	E74 like ETS transcription factor 3	1999	1:202007945-202016009	2		1q32.1	yes		pancreatic cancer			E		TSG	"Mis, N, F"				"CCDS1419.1,ENSG00000163435.15,EPR-1,ERT,ESE-1,ESX,P78545"
ELF4	E74-like factor 4 (ets domain transcription factor)	2000	X:130064928-130110495	1	Yes	Xq26.1	yes		AML			L	Dom	"oncogene, TSG, fusion"	T	ERG			"CCDS14617.1,ELFR,ENSG00000102034.16,MEF,NM_001421.3,NP_001412,Q99607"
ELK4	"ELK4, ETS-domain protein (SRF accessory protein 1)"	2005	1:205607943-205631962	1	Yes	1q32.1	yes		prostate			E	Dom	"oncogene, fusion"	T	SLC45A3			"CCDS1456.1,ENSG00000158711.13,NM_001973.3,NP_001964,P28324,SAP1"
ELL	ELL gene (11-19 lysine-rich leukemia gene)	8178	19:18442663-18522127	1	Yes	19p13.11	yes		AL			L	Dom	"TSG, fusion"	T	KMT2A			"C19orf17,CCDS12380.1,ELL1,ENSG00000105656.12,Men,NM_006532.3,NP_006523,P55199,PPP1R68"
ELN	elastin	2006	7:74027789-74069907	2		7q11.23	yes		B-ALL			L	Dom	fusion	T	PAX5	yes	"Supravalvular Aortic Stenosis, Cutis laxa , Williams-Beuren Syndrome"	"CCDS75616.1,ENSG00000049540.16,NM_001278939.1,NP_001265868,SVAS,WBS,WS"
EML4	echinoderm microtubule associated protein like 4	27436	2:42169350-42332548	1	Yes	2p21	yes		NSCLC			E	Dom	fusion	T	ALK			"C2orf2,CCDS1807.1,ELP120,ENSG00000143924.18,NM_019063.4,NP_061936,NP_061936.2,Q9HC35,ROPP120"
EP300	300 kd E1A-Binding protein gene	2033	22:41091786-41180079	1	Yes	22q13.2	yes		"colorectal, breast, pancreatic, AML, ALL, DLBCL"			"L, E"	Rec	"TSG, fusion"	"T,  N, F, Mis, O"	"KMT2A, KAT6A"			"CCDS14010.1,ENSG00000100393.12,KAT3B,NM_001429.3,NP_001420,Q09472,p300"
EPAS1	endothelial PAS domain protein 1	2034	2:46297402-46386703	1	Yes	2p21	yes		"paraganglioma, pheochromocytoma, central nervous system hemangioblastomas"			"E, M"	Dom	"oncogene, TSG"	Mis		yes	type 3 familial erythrocytosis	"CCDS1825.1,ENSG00000116016.13,HIF2A,HLF,MOP2,NM_001430.4,NP_001421,PASD2,Q99814,bHLHe73"
EPHA3	EPH receptor A3	2042	3:89107524-89482134	2		3p11.1	yes		"lung cancer, CRC, melanoma"			E			Mis				"CCDS2922.1,ENSG00000044524.10,ETK,ETK1,HEK,HEK4,NM_005233.5,NP_005224,P29320,TYRO4"
EPHA7	EPH receptor A7	2045	6:93240020-93419526	2		6q16.1	yes		"CRC, melanoma"			E			Mis				"CCDS5031.1,ENSG00000135333.13,Hek11,NM_004440.3,NP_004431,NP_001275558.1,Q15375"
EPS15	epidermal growth factor receptor pathway substrate 15 (AF1p)	2060	1:51354263-51519328	1	Yes	1p32.3	yes		ALL			L	Dom	"TSG, fusion"	T	KMT2A			"AF-1P,CCDS557.1,ENSG00000085832.16,MLLT5,NM_001981.2,NP_001972,P42566"
ERBB2	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"	2064	17:39700080-39728662	1	Yes	17q12	yes		"breast, ovarian, other tumour types, NSCLC, gastric"			E	Dom	"oncogene, fusion"	"A, Mis, O, T"				"CCDS32642.1,CD340,ENSG00000141736.13,HER-2,HER2,NEU,NGL,NM_004448.3,NP_004439,P04626"
ERBB3	erb-b2 receptor tyrosine kinase 3	2065	12:56079861-56103505	1	Yes	12q13.2	yes		"colon, gastric, head and neck, bladder, skin"			E	Dom	oncogene	"Mis, N"				"CCDS31833.1,ENSG00000065361.15,HER3,LCCS2,NM_001982.3,NP_001973,P21860"
ERBB4	erb-b2 receptor tyrosine kinase 4	2066	2:211375717-212538841	1	Yes	2q34	yes	yes	"melanoma, gastric, NSCLC"			E	Dom	"oncogene, TSG"	"Mis, N"		yes	Amyotrophic lateral sclerosis 19	"ALS19,CCDS2394.1,ENSG00000178568.14,HER4,NM_005235.2,NP_005226,Q15303"
ERC1	ELKS/RAB6-interacting/CAST family member 1	23085	12:1027747-1495924	1		12p13.33	yes		"papillary thyroid, Spitzoid tumour"			E	Dom	fusion	T	"RET, ROS1"			"CAST2,CCDS8508.1,ELKS,ENSG00000082805.19,KIAA1081,MGC12974,NM_178040.3,NP_829884,Q8IUD2,RAB6IP2"
ERCC2	"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)"	2068	19:45349837-45370587	1	Yes	19q13.32		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (D)	E	Rec	TSG	"Mis, N, F, S"				"CCDS33049.1,EM9,ENSG00000104884.15,MAG,MGC102762,MGC126218,MGC126219,NM_000400.3,NP_000391,P18074,TFIIH,XPD"
ERCC3	"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"	2071	2:127257290-127294176	1	Yes	2q14.3		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (B)	E	Rec	TSG	"Mis, S"				"BTF2,CCDS2144.1,ENSG00000163161.13,GTF2H,NM_001303418.1,NP_000113,NP_001290345.1,NP_001290347.1,P19447,RAD25,TFIIH,XPB"
ERCC4	"excision repair cross-complementing rodent repair deficiency, complementation group 4"	2072	16:13920157-13952345	1	Yes	16p13.12		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (F)	E	Rec	TSG	"Mis, N, F"				"CCDS32390.1,ENSG00000175595.14,FANCQ,NM_005236.2,NP_005227,Q92889,RAD1,XPF"
ERCC5	"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))"	2073	13:102844844-102876001	1	Yes	13q33.1		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (G)	E	Rec	TSG	"Mis, N, F"				"CCDS32004.1,ENSG00000134899.19,ERCM2,NM_000123.3,NP_000114,NP_000114.2,P28715,XPGC"
ERG	v-ets erythroblastosis virus E26 oncogene like (avian)	2078	21:38380027-38661694	1	Yes	21q22.2	yes		"Ewing sarcoma, prostate, AML"			"M, E, L"	Dom	"oncogene, fusion"	"T, A"	"EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1"			"CCDS46648.1,ENSG00000157554.18,NM_001243432.2,NP_001129626,NP_001230361.1,P11308,erg-3,p55"
ESR1	estrogen receptor 1	2099	6:151690496-152103274	1	Yes	6q25.2	yes		breast			E	Dom	"oncogene, TSG, fusion"	"Mis, T"				"CCDS5234.1,ENSG00000091831.23,ER-alpha,ESR,Era,NM_001122742.1,NP_001116214,NR3A1,P03372"
ETNK1	ethanolamine kinase 1	55500	12:22625075-22690665	1	Yes	12p12.1	yes		"aCML, CMML, SM-AHD, HES"			L	Dom	TSG	Mis				"CCDS8698.1,EKI,EKI1,ENSG00000139163.15,NM_018638.4,NP_061108,Q9HBU6"
ETV1	ets variant gene 1	2115	7:13891228-13989946	1		7p21.2	yes		"Ewing sarcoma, prostate"			"M, E"	Dom	"oncogene, fusion"	T	"EWSR1, TMPRSS2, SLC45A3, HMGN2P46, HNRNPA2B1. ACSL3"			"CCDS55088.1,ENSG00000006468.13,ER81,NM_004956.4,NP_004947,P50549"
ETV4	"ets variant gene 4 (E1A enhancer binding protein, E1AF)"	2118	17:43527844-43546432	1		17q21.31	yes		"Ewing sarcoma, prostate carcinoma"			"M, E"	Dom	"oncogene, fusion"	T	"EWSR1, TMPRSS2, DDX5, KLK2, CANT1"			"CCDS11465.1,E1A-F,E1AF,ENSG00000175832.12,NM_001079675.2,NP_001073143,P43268,PEA3"
ETV5	ets variant gene 5	2119	3:186046308-186109112	1		3q27.2	yes		prostate			E	Dom	"oncogene, fusion"	T	"TMPRSS2, SCL45A3"			"CCDS33906.1,ENSG00000244405.7,ERM,NM_004454.2,NP_004445,P41161"
ETV6	ets variant gene 6 (TEL oncogene)	2120	12:11649854-11895402	1	Yes	12p13.2	yes		"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS"			"L, E, M"	Dom	"TSG, fusion"	T	"NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5"			"CCDS8643.1,ENSG00000139083.10,NM_001987.4,NP_001978,P41212,TEL"
EWSR1	Ewing sarcoma breakpoint region 1 (EWS)	2130	22:29268316-29300343	1	Yes	22q12.2	yes		"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma"			"L, M, E"	Dom	"oncogene, fusion"	T	"FLI1, ERG, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1, NFATC1, NFATC2, DDIT3, PATZ1, SMARCA5, SP3, ZNF444, YY1"			"CCDS13852.2,ENSG00000182944.17,EWS,NM_013986.3,NP_053733,Q01844"
EXT1	multiple exostoses type 1 gene	2131	8:117794490-118111853	1		8q24.11		yes		"exostoses, osteosarcoma"	multiple exostoses type 1	M	Rec	"TSG, fusion"	"Mis, N, F, S, T"				"CCDS6324.1,ENSG00000182197.10,LGCR,LGS,NM_000127.2,NP_000118,Q16394,ttv"
EXT2	multiple exostoses type 2 gene	2132	11:44096197-44245429	1		11p11.2		yes		"exostoses, osteosarcoma"	multiple exostoses type 2	M	Rec	TSG	"Mis, N, F, S"				"CCDS53618.1,ENSG00000151348.13,NM_000401.3,NP_000392,Q93063,SOTV"
EZH2	enhancer of zeste homolog 2	2146	7:148807385-148884278	1	Yes	7q36.1	yes		DLBCL			L	Dom	"oncogene, TSG"	Mis				"CCDS5891.1,ENSG00000106462.10,ENX-1,EZH1,KMT6,KMT6A,NM_004456.4,NP_004447,Q15910"
EZR	ezrin	7430	6:158765748-158819412	1	Yes	6q25.3	yes		NSCLC			E	Dom	fusion	T	ROS1			"CCDS5258.1,ENSG00000092820.17,NM_001111077.1,NP_001104547,P15311,VIL2"
FADD	Fas Associated Via Death Domain	8772	11:70203163-70207390	2		11q13.3	yes	yes	"breast cancer, HNSCC"			"E, L"			A				"CCDS8196.1,ENSG00000168040.4,GIG3,MORT1,NM_003824.3,NP_003815,Q13158"
FAM131B	"family with sequence similarity 131, member B"	9715	7:143353400-143362752	2		7q34	yes		pilocytic astrocytoma			O	Dom	fusion	T	BRAF			"CCDS47734.1,ENSG00000159784.17,KIAA0773,NM_001031690.2,NP_001026860,Q86XD5"
FAM135B	family with sequence similarity 135 member B	51059	8:138130023-138496822	2		8q24.23	yes		SCLC			E			Mis				"C8ORFK32,CCDS6375.2,ENSG00000147724.11,NM_015912.3,NP_056996,Q49AJ0"
FAM47C	family with sequence similarity 47 member C	442444	X:37008397-37011666	2		Xp21.1	yes		"melanoma, clear cell sarcoma of soft parts, SCLC"			"E, M"			Mis				"CCDS35227.1,ENSG00000198173.4,NM_001013736.2,NP_001013758,Q5HY64"
FANCA	"Fanconi anemia, complementation group A"	2175	16:89737549-89816646	1		16q24.3		yes		"AML, leukaemia"	Fanconi anaemia A	L	Rec	TSG	"D, Mis, N, F, S"				"CCDS32515.1,ENSG00000187741.14,FA-H,FAA,FACA,FAH,FANCH,NM_000135.2,NP_000126,O15360"
FANCC	"Fanconi anemia, complementation group C"	2176	9:95099054-95317702	1		9q22.32		yes		"AML, leukaemia"	Fanconi anaemia C	L	Rec	TSG	"D, Mis, N, F, S"				"CCDS35071.1,ENSG00000158169.12,FA3,FAC,FACC,NM_000136.2,NP_000127,Q00597"
FANCD2	"Fanconi anemia, complementation group D2"	2177	3:10026414-10099660	1	Yes	3p25.3		yes		"AML, leukaemia"	Fanconi anaemia D2	L	Rec	TSG	"D, Mis, N, F"				"CCDS2595.1,ENSG00000144554.10,FA-D2,FACD,FAD,FANCD,NM_033084.4,NP_149075,Q9BXW9"
FANCE	"Fanconi anemia, complementation group E"	2178	6:35452361-35467103	1		6p21.31		yes		"AML, leukaemia"	Fanconi anaemia E	L	Rec	TSG	"N, F, S"				"CCDS4805.1,ENSG00000112039.3,FACE,FAE,NM_021922.2,NP_068741,Q9HB96"
FANCF	"Fanconi anemia, complementation group F"	2188	11:22622519-22626787	1		11p14.3		yes		"AML, leukaemia"	Fanconi anaemia F	L	Rec	TSG	"N, F"				"CCDS7857.1,ENSG00000183161.4,FAF,NM_022725.3,NP_073562,Q9NPI8"
FANCG	"Fanconi anemia, complementation group G"	2189	9:35073838-35080016	1		9p13.3		yes		"AML, leukaemia"	Fanconi anaemia G	L	Rec	TSG	"Mis, N, F, S"				"CCDS6574.1,ENSG00000221829.9,FAG,NM_004629.1,NP_004620,O15287,XRCC9"
FAS	Fas cell surface death receptor	355	10:88990657-89015785	1	Yes	10q23.31	yes		"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related"			"L, E, O"	Rec	TSG	Mis		yes	Autoimmune lymphoproliferative syndrome	"APO-1,APT1,CCDS7393.1,CD95,ENSG00000026103.21,FAS1,NM_000043.5,NP_000034,P25445,TNFRSF6"
FAT1	FAT atypical cadherin 1	2195	4:186587783-186723855	1	Yes	4q35.2	yes	yes	"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma"	pancreatic		"E, L"		TSG	"Mis, N, F, S"				"CCDS47177.1,CDHF7,CDHR8,ENSG00000083857.13,FAT,NM_005245.3,NP_005236,Q14517"
FAT3	FAT atypical cadherin 3	120114	11:92352541-92896470	2		11q14.3	yes		"SCC, colon adenocarcinoma, gastric adenocarcinoma"			E			Mis				"CDHF15,CDHR10,ENSG00000165323.15,KIAA1989"
FAT4	FAT atypical cadherin 4	79633	4:125316399-125492932	1	Yes	4q28.1	yes		"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma"			"E, L"		TSG	"Mis, N"		yes	"Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2"	"CCDS3732.3,CDHF14,CDHR11,ENSG00000196159.11,FAT-J,NM_024582.4,NP_078858,NP_001278214.1,NP_001278232.1,Q6V0I7"
FBLN2	fibulin 2	2199	3:13549131-13638422	2		3p25.1	yes		"breast cancer, colorectal adenocarcinoma"			E		TSG	"Mis, S"				"CCDS46761.1,ENSG00000163520.13,NM_001004019.1,NP_001004019,P98095"
FBXO11	F-box protein 11	80204	2:47806920-47905793	1	Yes	2p16.3	yes		DLBCL			L	Rec	TSG	"Mis, F, D"				"CCDS54357.1,ENSG00000138081.20,FBX11,NM_001190274.1,NP_001177203,Q86XK2,UBR6"
FBXW7	"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)"	55294	4:152320544-152536063	1	Yes	4q31.3	yes		"colorectal, endometrial, T-ALL"			"E, L"	Rec	TSG	"Mis, N, D, F"				"AGO,CCDS3777.1,CDC4,ENSG00000109670.14,FBW7,FBX30,FBXW6,FLJ11071,NM_033632.3,NP_361014,Q969H0,SEL-10,SEL10"
FCGR2B	"Fc fragment of IgG, low affinity IIb, receptor for (CD32)"	2213	1:161663161-161678654	1	Yes	1q23.3	yes		ALL			L	Dom	"oncogene, fusion"	T	?			"CCDS30924.1,CD32,CD32B,ENSG00000072694.20,FCG2,FCGR2,NM_004001.4,NP_003992,NP_001002275.1,P31994"
FCRL4	Fc receptor-like 4	83417	1:157573749-157598080	1		1q23.1	yes		B-NHL			L	Dom	"oncogene, fusion"	T	IGH			"CCDS1166.1,CD307d,ENSG00000163518.10,FCRH4,IGFP2,IRTA1,NM_031282.2,NP_112572,Q96PJ5"
FEN1	flap structure-specific endonuclease 1	2237	11:61792637-61797244	2		11q12.2		yes		breast cancer		E		TSG					"CCDS8010.1,ENSG00000168496.3,FEN-1,MF1,NM_004111.5,NP_004102,P39748,RAD2"
FES	"FES proto-oncogene, tyrosine kinase"	2242	15:90884412-90895776	1	Yes	15q26.1	yes		"HNSCC, ovarian carcinoma"			E		"oncogene, TSG"	"Mis, F"				"CCDS10365.1,ENSG00000182511.11,FPS,NM_002005.3,NP_001996,P07332"
FEV	FEV protein - (HSRNAFEV)	54738	2:218981087-218985657	1		2q35	yes		Ewing sarcoma			M	Dom	"oncogene, fusion"	T	"EWSR1,  FUS"			"CCDS2428.1,ENSG00000163497.2,NM_017521.2,NP_059991,Pet-1,Q99581"
FGFR1	fibroblast growth factor receptor 1	2260	8:38411138-38467845	1	Yes	8p11.23	yes		"MPN, NHL, salivary adenoma"			L	Dom	"oncogene, fusion"	T	"BCR, FOP, ZMYM2, CNTRL, PLAG1"	yes	"Pfeiffer syndrome, Kallman syndrome"	"BFGFR,CCDS55223.1,CD331,CEK,ENSG00000077782.19,FLG,FLT2,H2,H3,H4,H5,KAL2,N-SAM,NM_001174067.1,NP_001167538,P11362"
FGFR1OP	FGFR1 oncogene partner (FOP)	11116	6:166999182-167052713	1		6q27	yes		"MPN, NHL"			L	Dom	fusion	T	FGFR1			"CCDS5296.1,ENSG00000213066.12,FOP,NM_007045.3,NP_008976,O95684"
FGFR2	fibroblast growth factor receptor 2	2263	10:121479857-121598403	1	Yes	10q26.13	yes		"gastric, NSCLC, endometrial"			E	Dom	"oncogene, fusion"	"Mis, T"		yes	"Crouzon, Pfeiffer, and Apert syndromes"	"BEK,CCDS7620.2,CD332,CEK3,CFD1,ECT1,ENSG00000066468.22,JWS,K-SAM,KGFR,NM_022970.3,NP_075259,P21802,TK14,TK25"
FGFR3	fibroblast growth factor receptor 3	2261	4:1793312-1808872	1	Yes	4p16.3	yes		"bladder, MM, T-cell lymphoma"			"L, E"	Dom	"oncogene, fusion"	"Mis, T"	"IGH, ETV6"	yes	"Hypochondroplasia, Thanatophoric dysplasia"	"ACH,CCDS54706.1,CD333,CEK2,ENSG00000068078.18,JTK4,NM_001163213.1,NP_001156685.1,P22607"
FGFR4	fibroblast growth factor receptor 4	2264	5:177086886-177098144	1	Yes	5q35.2	yes		rhabdomyosarcoma			M	Dom	oncogene	Mis				"CCDS4410.1,CD334,ENSG00000160867.14,JTK2,NM_213647.2,NP_998812,NP_002002,NP_001341913.1,P22455"
FH	fumarate hydratase	2271	1:241497603-241519761	1		1q43		yes		"leiomyomatosis, renal"	hereditary leiomyomatosis and renal cell cancer	"E, M"	Rec	TSG	"Mis, N, F"				"CCDS1617.1,ENSG00000091483.6,NM_000143.3,NP_000134,P07954"
FHIT	fragile histidine triad gene	2272	3:59751407-61251459	1	Yes	3p14.2	yes		pleomorphic salivary gland adenoma			E	Dom	"TSG, fusion"	T	HMGA2			"AP3Aase,CCDS2894.1,ENSG00000189283.9,FRA3B,NM_001320900.1,NP_001307828,NP_001307829,P49789"
FIP1L1	FIP1 like 1 (S. cerevisiae)	81608	4:53377645-53459668	1		4q12	yes		idiopathic hypereosinophilic syndrome			L	Dom	fusion	T	PDGFRA			"CCDS3491.1,DKFZp586K0717,ENSG00000145216.15,FIP1,NM_030917.3,NP_112179,Q6UN15"
FKBP9	FK506 binding protein 9	11328	7:32957404-33006930	2		7p14.3	yes		glioma			O			Mis				"CCDS64622.1,ENSG00000122642.10,FKBP60,FKBP63,NM_001284341.1,NP_001271270,O95302"
FLCN	folliculin	201163	17:17212212-17237139	1		17p11.2		yes		"renal, fibrofolliculomas, trichodiscomas"	Birt-Hogg-Dube syndrome	"E, M"	Rec	TSG	"Mis. N, F"				"BHD,CCDS32579.1,ENSG00000154803.12,MGC17998,MGC23445,NM_144997.5,NP_659434,NP_001340160.1,NP_001340159.1,Q8NFG4"
FLI1	Friend leukemia virus integration 1	2313	11:128693770-128813267	1		11q24.3	yes		Ewing sarcoma			M	Dom	"oncogene, fusion"	T	EWSR1			"CCDS44768.1,ENSG00000151702.16,EWSR2,NM_002017.4,NP_002008,Q01543,SIC-1"
FLNA	filamin A	2316	X:154348526-154374638	2		Xq28	yes		phyllodes tumour of the breast			E			"Mis, F, O"				"ABP-280,CCDS48194.1,ENSG00000196924.15,FLN,FLN1,NM_001110556.1,NP_001104026,OPD1,OPD2,P21333"
FLT3	fms-related tyrosine kinase 3	2322	13:28003274-28100592	1	Yes	13q12.2	yes		"AML, ALL"			L	Dom	oncogene	"Mis, O"				"CCDS31953.1,CD135,ENSG00000122025.14,FLK2,NM_004119.2,NP_004110,P36888,STK1"
FLT4	fms-related tyrosine kinase 4	2324	5:180601506-180649624	1	Yes	5q35.3	yes		soft tissue sarcoma			M	Dom	oncogene	A				"CCDS4457.1,ENSG00000037280.15,NM_182925.4,NP_891555,P35916,PCL,VEGFR3"
FNBP1	formin binding protein 1 (FBP17)	23048	9:129887187-130043162	2		9q34.11	yes		AML			L	Dom	fusion	T	KMT2A			"CCDS48040.1,ENSG00000187239.16,FBP17,KIAA0554,NM_015033.2,NP_055848,Q96RU3"
FOXA1	forkhead box A1	3169	14:37589984-37595034	1	Yes	14q21.1	yes		"breast, prostate"			E	Dom	oncogene	"Mis, F"				"CCDS9665.1,ENSG00000129514.5,HNF3A,NM_004496.3,NP_004487,P55317"
FOXL2	forkhead box L2	668	3:138944224-138947140	1	Yes	3q22.3	yes		granulosa-cell tumour of the ovary			O	Dom	"oncogene, TSG"	Mis		yes	"Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III"	"BPES,BPES1,CCDS3105.1,ENSG00000183770.5,NM_023067.3,NP_075555,P58012"
FOXO1	forkhead box O1	2308	13:40555667-40666597	1		13q14.11	yes		alveolar rhabdomyosarcoma			M	Dom	"oncogene, TSG, fusion"	T	"PAX3, PAX7"			"CCDS9371.1,ENSG00000150907.7,FKH1,FKHR,FOXO1A,NM_002015.3,NP_002006,Q12778"
FOXO3	forkhead box O3	2309	6:108560866-108684768	1		6q21	yes		AL			L	Dom	"oncogene, TSG, fusion"	T	KMT2A			"AF6q21,CCDS5068.1,ENSG00000118689.14,FKHRL1,FOXO2,FOXO3A,NM_001455.3,NP_001446,O43524"
FOXO4	forkhead box O4	4303	X:71096197-71103535	1		Xq13.1	yes		"AL, soft tissue sarcoma"			"L, M"	Dom	"oncogene, TSG, fusion"	T	"KMT2A, CIC"			"AFX1,CCDS43969.1,ENSG00000184481.16,MLLT7,NM_005938.3,NP_005929,P98177"
FOXP1	forkhead box P1	27086	3:70954715-71583989	1		3p13	yes		ALL			L	Dom	"oncogene, fusion"	T	PAX5			"12CC4,CCDS74964.1,ENSG00000114861.19,HSPC215,NM_001244810.1,NP_001231739,Q9H334,QRF1,hFKH1B"
FOXR1	forkhead box R1	283150	11:118971707-118981291	2		11q23.3	yes		neuroblastoma			O		"oncogene, fusion"	T				"CCDS31688.1,DLNB13,ENSG00000176302.12,FOXN5,NM_181721.2,NP_859072,Q6PIV2"
FSTL3	follistatin-like 3 (secreted glycoprotein)	10272	19:676365-683399	1		19p13.3	yes		B-CLL			L	Dom	"oncogene, fusion"	T	CCND1			"CCDS12040.1,ENSG00000070404.9,FLRG,FSRP,NM_005860.2,NP_005851,O95633"
FUBP1	far upstream element (FUSE) binding protein 1	8880	1:77948405-77979086	1	Yes	1p31.1	yes		oligodendroglioma			O	Rec	oncogene	"F, N"				"CCDS683.1,ENSG00000162613.16,FBP,FUBP,NM_003902.4,NP_003893,NP_001290362.1,Q96AE4"
FUS	"fusion, derived from t(12;16) malignant liposarcoma"	2521	16:31180110-31194871	1	Yes	16p11.2	yes		"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma"			"M, L"	Dom	"TSG, fusion"	T	"DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1, NFATC2"			"ALS6,CCDS10707.1,ENSG00000089280.18,FUS1,HNRNPP2,NM_004960.3,NP_004951,NP_001164408.1,P35637,TLS,hnRNP-P2"
GAS7	growth arrest-specific 7	8522	17:9913850-10198551	1	Yes	17p13.1	yes		AML*			L	Dom	fusion	T	KMT2A			"CCDS11152.1,ENSG00000007237.18,KIAA0394,MGC1348,NM_201433.1,NP_958839,O60861"
